Name,Agency product number,Active substance,International non-proprietary name (INN) or common name,Therapeutic area (MeSH),Anatomical therapeutic chemical (ATC) code,Generic,Marketing-authorisation holder,Revision,Date of issue of marketing authorisation valid throughout the European Union,Contact address,Additional monitoring,Orphan,Conditional approval,Biosimilar,Marketing-autorisation applicant,Date of opinion,Exceptional circumstances,Date of refusal of marketing authorisation,Countries
IntronA,EMEA/H/C/000281,interferon alfa-2b,interferon alfa-2b,"Carcinoid Tumor
Leukemia, Hairy Cell
Lymphoma, Follicular
Hepatitis B, Chronic
Hepatitis C, Chronic
Leukemia, Myelogenous, Chronic, BCR-ABL Positive
Melanoma
Multiple Myeloma",L03AB05,,Merck Sharp & Dohme B.V.,30,08/03/2000,"Waarderweg 39
2031 BN Haarlem
The Netherlands",,,,,,,,,The Netherlands
Ecalta,EMEA/H/C/000788,anidulafungin,anidulafungin,Candidiasis,J02AX06,,Pfizer Europe MA EEIG,17,19/09/2007,"Boulevard de la Plaine 17
1050 Bruxelles
Belgium",,,,,,,,,Belgium
Soliris,EMEA/H/C/000791,Eculizumab,eculizumab,"Hemoglobinuria, Paroxysmal",L04AA25,,Alexion Europe SAS,24,19/06/2007,"1-15 Avenue Edouard Belin
92500 Rueil-Malmaison
France",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,France
Nexium Control,EMEA/H/C/002618,esomeprazole,esomeprazole,Gastroesophageal Reflux,A02BC05,,Pfizer Healthcare Ireland,11,25/08/2013,"9 Riverwalk
National Digital Park
Citywest Business Campus
Dublin 24
D24 NT20",,,,,,,,,Ireland
Memantine Mylan,EMEA/H/C/002660,memantine hydrochloride,memantine,Alzheimer Disease,N06DX01,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Mylan S.A.S,4,21/04/2013,"117 Allee des Parcs
69800
Saint-Priest
France",,,,,,,,,France
Dukoral,EMEA/H/C/000476,"recombinant cholera toxin B subunit
vibrio cholerae 01","cholera vaccine (inactivated, oral)","Cholera
Immunization",J07AE01,,Valneva Sweden AB,12,27/04/2004,"S-105 21 Stockholm
Sweden",,,,,,,,,Sweden
Tremfya,EMEA/H/C/004271,guselkumab,guselkumab,Psoriasis,L04AC,,Janssen-Cilag International N.V.,1,09/11/2017,"Turnhoutseweg 30
B-2340 Beerse
Belgium","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Belgium
Simponi,EMEA/H/C/000992,Golimumab,golimumab,"Arthritis, Psoriatic
Spondylitis, Ankylosing
Colitis, Ulcerative
Arthritis, Rheumatoid",L04AB06,,Janssen Biologics B.V.,31,30/09/2009,"Einsteinweg 101
NL-2333 CB Leiden
The Netherlands",,,,,,,,,The Netherlands
Ryzodeg,EMEA/H/C/002499,"insulin aspart
insulin degludec",insulin degludec / insulin aspart,Diabetes Mellitus,A10AD06,,Novo Nordisk A/S,10,20/01/2013,"Novo Allé
DK-2880 Bagsværd
Denmark",,,,,,,,,Denmark
Nucala,EMEA/H/C/003860,Mepolizumab,mepolizumab,Asthma,R03DX09,,GlaxoSmithKline Trading Services,9,01/12/2015,"Currabinny
Carrigaline
County Cork
Ireland","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Ireland
Lenvima,EMEA/H/C/003727,lenvatinib mesylate,lenvatinib,Thyroid Neoplasms,L01XE,,Eisai Europe Ltd,5,27/05/2015,"European Knowledge Centre
Mosquito Way
Hertfordshire
Hatfield AL10 9SN
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,United Kingdom
Efavirenz/Emtricitabine/Tenofovir disoproxil Zentiva,EMEA/H/C/004250,"efavirenz
emtricitabine
tenofovir disoproxil, phosphate",efavirenz / emtricitabine / tenofovir disoproxil,HIV Infections,J05AR06,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Zentiva k.s.,2,16/07/2017,"U kabelovny 130
Dolni Mecholupy
102 37 Prague 10
Czech Republic","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Czech Republic
Jinarc,EMEA/H/C/002788,Tolvaptan,tolvaptan,"Polycystic Kidney, Autosomal Dominant",C03XA01,,Otsuka Pharmaceutical Europe Ltd,9,26/05/2015,"Gallions Wexham
Springs Framewood Road
Wexham
Slough SL3 6PJ
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,United Kingdom
Trevicta (previously Paliperidone Janssen),EMEA/H/C/004066,paliperidone palmitate,paliperidone,Schizophrenia,N05AX13,,Janssen-Cilag International NV,8,04/12/2014,"Turnhoutseweg 30
2340 Beerse
Belgium",,,,,,,,,Belgium
Kyprolis,EMEA/H/C/003790,carfilzomib,carfilzomib,Multiple Myeloma,L01XX45,,Amgen Europe B.V.,13,18/11/2015,"Minervum 7061
Breda 4817ZK
The Netherlands","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,The Netherlands
Afinitor,EMEA/H/C/001038,everolimus,everolimus,"Carcinoma, Renal Cell
Breast Neoplasms
Pancreatic Neoplasms",L01XE10,,Novartis Europharm Limited,21,02/08/2009,"Elm Park
Merrion Road
Dublin 4
Ireland",,,,,,,,,Ireland
Blincyto,EMEA/H/C/003731,blinatumomab,blinatumomab,Precursor Cell Lymphoblastic Leukemia-Lymphoma,L01XC,,Amgen Europe B.V.,8,22/11/2015,"Minervum 7061
4817 ZK Breda
The Netherlands","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,The Netherlands
BeneFIX,EMEA/H/C/000139,Nonacog alfa,nonacog alfa,Hemophilia B,B02BD04,,Pfizer Europe MA EEIG,37,26/08/1997,"Boulevard de la Plaine 17
1050 Bruxelles
Belgium",,,,,,,,,Belgium
Xeplion,EMEA/H/C/002105,paliperidone palmitate,paliperidone,Schizophrenia,N05AX13,,Janssen-Cilag International N.V.,13,03/03/2011,"Turnhoutseweg 30
BE-2340 Beerse
Belgium",,,,,,,,,Belgium
Orkambi,EMEA/H/C/003954,"Lumacaftor
ivacaftor",lumacaftor / ivacaftor,Cystic Fibrosis,R07AX30,,Vertex Pharmaceuticals (Europe) Ltd,13,18/11/2015,"2 Kingdom Street
London W2 6BD
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,United Kingdom
Invega,EMEA/H/C/000746,paliperidone,paliperidone,"Schizophrenia
Psychotic Disorders",N05AX13,,Janssen-Cilag International NV,16,24/06/2007,"Turnhoutseweg, 30
B-2340 Beerse
Belgium",,,,,,,,,Belgium
Ivabradine Zentiva,EMEA/H/C/004117,ivabradine hydrochloride,ivabradine,"Angina Pectoris
Heart Failure",C01EB17,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.","Zentiva, k.s.",1,10/11/2016,"U kabelovny 130
Dolni Mecholupy
102 37 Prague 10
Czech Republic",,,,,,,,,Czech Republic
Eylea,EMEA/H/C/002392,aflibercept,aflibercept,"Wet Macular Degeneration
Macular Edema
Diabetes Complications",S01LA05,,Bayer AG,15,21/11/2012,"51368 Leverkusen
Germany",,,,,,,,,Germany
Fasenra,EMEA/H/C/004433,benralizumab,benralizumab,Asthma,R03DX10,,AstraZeneca AB,2,07/01/2018,"SE-151-85 Sodertalje
Sweden","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Sweden
Telzir,EMEA/H/C/000534,fosamprenavir calcium,fosamprenavir,HIV Infections,J05AE07,,ViiV Healthcare BV,39,11/07/2004,"Huis ter Heideweg 62
3705 LZ Zeist
The Netherlands",,,,,,,,,The Netherlands
Flebogamma DIF (previously Flebogammadif),EMEA/H/C/000781,Human normal immunoglobulin,human normal immunoglobulin,"Mucocutaneous Lymph Node Syndrome
Guillain-Barre Syndrome
Bone Marrow Transplantation
Purpura, Thrombocytopenic, Idiopathic
Immunologic Deficiency Syndromes",J06BA02,,Instituto Grifols S.A.,15,22/07/2007,"Can Guasch 2
E-08150 Parets del Vallès
Barcelona
Spain",,,,,,,,,Spain
Dupixent,EMEA/H/C/004390,dupilumab,dupilumab,"Dermatitis, Atopic",D11AH05,,sanofi-aventis groupe,2,26/09/2017,"54 rue La Boetie
75008 Paris
France","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,France
Praxbind,EMEA/H/C/003986,idarucizumab,idarucizumab,Hemorrhage,V03AB,,Boehringer Ingelheim International GmbH,5,19/11/2015,"Binger Strasse 173
D-55216 Ingelheim am Rhein
Germany","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Germany
Kaletra,EMEA/H/C/000368,"lopinavir
ritonavir",lopinavir / ritonavir,HIV Infections,J05AR10,,AbbVie Deutschland GmbH Co. KG,49,19/03/2001,"Knollstrasse
67061 Ludwigshafen
Germany",,,,,,,,,Germany
Cresemba,EMEA/H/C/002734,isavuconazole,isavuconazole,Aspergillosis,J02AC,,Basilea Medical Ltd,3,14/10/2015,"(c/o Cox Costello Horne Limited)
Langwood House
63-81 High Street
Rickmansworth
Hertfordshire WD3 1EQ
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,United Kingdom
Abilify,EMEA/H/C/000471,aripiprazole,aripiprazole,"Schizophrenia
Bipolar Disorder",N05AX12,,Otsuka Pharmaceutical Netherlands B.V.,42,03/06/2004,"Herikerbergweg 292
1101 CT Amsterdam
Netherlands",,,,,,,,,The Netherlands
Steglatro,EMEA/H/C/004315,ertugliflozin l-pyroglutamic acid,ertugliflozin,"Diabetes Mellitus, Type 2",A10BK04,,Merck Sharp & Dohme B.V.,2,20/03/2018,"Waarderweg 39
2031 BN Haarlem
The Netherlands","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,The Netherlands
Lumigan,EMEA/H/C/000391,bimatoprost,bimatoprost,"Glaucoma, Open-Angle
Ocular Hypertension",S01EE03,,Allergan Pharmaceuticals Ireland,29,07/03/2002,"Castlebar Road
Westport, Co Mayo
Ireland",,,,,,,,,Ireland
Incruse Ellipta (previously Incruse),EMEA/H/C/002809,umeclidinium bromide,umeclidinium bromide,"Pulmonary Disease, Chronic Obstructive",R03BB07,,Glaxo Group Ltd,9,27/04/2014,"980 Great West Road
Brentford
Middlesex TW8 9GS
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,United Kingdom
Xigduo,EMEA/H/C/002672,"metformin hydrochloride
dapagliflozin propanediol monohydrate",dapagliflozin / metformin,"Diabetes Mellitus, Type 2",A10BD15,,AstraZeneca AB,10,15/01/2014,"SE-151-85 Sodertalje
Sweden",,,,,,,,,Sweden
Sovaldi,EMEA/H/C/002798,Sofosbuvir,sofosbuvir,"Hepatitis C, Chronic",J05AX15,,Gilead Sciences Ireland UC,15,15/01/2014,"Carrigtohill
County Cork, T45 DP77
Ireland","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Ireland
Anoro Ellipta (previously Anoro),EMEA/H/C/002751,"umeclidinium bromide
vilanterol trifenatate",umeclidinium bromide / vilanterol,"Pulmonary Disease, Chronic Obstructive",R03AL03,,Glaxo Group Ltd,8,07/05/2014,"Berkeley Avenue
Greenford
Middlesex UB6 0NN
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,United Kingdom
Prasugrel Mylan,EMEA/H/C/004644,prasugrel besilate,prasugrel,"Myocardial Infarction
Acute Coronary Syndrome
Angina, Unstable",B01AC22,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Mylan S.A.S,2,15/05/2018,"117 Allee des Parcs
69800
Saint-Priest
France",,,,,,,,,France
Spherox,EMEA/H/C/002736,spheroids of human autologous matrix-associated chondrocytes,spheroids of human autologous matrix-associated chondrocytes,Cartilage Diseases,M09AX02,,CO.DON AG,2,09/07/2017,"Warthestr. 21
14513 Teltow
Germany","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Germany
Zavesca,EMEA/H/C/000435,miglustat,miglustat,"Gaucher Disease
Niemann-Pick Diseases",A16AX06,,Janssen Cilag International NV,28,19/11/2002,"Turnhoutseweg 30
B 2340 Beerse
Belgium",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Belgium
Aclasta,EMEA/H/C/000595,zoledronic acid,zoledronic acid,"Osteoporosis
Osteitis Deformans
Osteoporosis, Postmenopausal",M05BA08,,Novartis Europharm Limited ,24,14/04/2005,"Elm Park, Merrion Road
Dublin 4
Ireland",,,,,,,,,Ireland
